,nama,harga,deskripsi,detail,link gambar,link
0,Lost World,"Rp.70,400 ","
Tahun 3027, Perang Dunia III yang terjadi bertahun-tahun silam membawa dampak yang begitu besar pada dunia. Dua kubu organisasi tercipta: Zystrome yang memegang teguh nilai persatuan, kesatuan, kekeluargaan dan toleransi antar berbagai bangsa dan negara di dunia, serta Cloakship yang begitu tiran. Dunia tidak lagi seaman dulu, militer Zystrome berada di mana-mana, pemberontakan seringkali terjadi, hingga teror-teror dari musuh setiap tahunnya. Seorang remaja 15 tahun terjebak di salah satu markas Zystrome dan menjadi kunci terungkapnya misteri lain. Hidupnya tak pernah sama lagi semenjak ia tak sengaja terjebak di sana, diikuti peristiwa lain yang juga muncul.
","{'Kategori': 'Novel', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '444 halaman', 'Dimensi': '20x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Out of Stock', 'Penerbit': 'Aria Media Mandiri', 'Penulis': 'Rania Thahirah', 'Berat': '600 gram', 'Product Tags': ' \naria media mandiri\nbuku novel\nnovel\nrania thahirah\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide118-cr-500x500.jpeg,https://www.solusibuku.com/novel/lost-world.html
1,Believe,"Rp.52,000 ","
Buku ini adalah novel fiksi dengan cerita remaja yang digambarkan cukup menarik. Pada akhirya sebuah kepercayaan dan kenyakinan lah yang dapat mengantarkan seseorang menemukan cintanya.
","{'Kategori': 'Novel', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '298 halaman', 'Dimensi': '13x19 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Out of Stock', 'Penerbit': 'Aria Media Mandiri', 'Penulis': 'Laluna Kia', 'Berat': '400 gram', 'Product Tags': ' \naria media mandiri\nbuku novel\nlaluna kia\nnovel\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide119-cr-500x500.jpeg,https://www.solusibuku.com/novel/believe.html
2,I Love My Badboy,"Rp.52,000 ","
Buku terbitan Aria Media ini adalah karangan Nat Natasya yang mendapatkan Wattpad Recomended. Cerita dalam buku ini bercerita tentang bagaimana seorang wanita mempertahankan cintanya kepada seorang laki-laki yang tidak diinginkan oleh kedua orang tuanya, dan menghendaki untuk menjodohkannya dengan pria yang lain.
","{'Kategori': 'Novel', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '326 halaman', 'Dimensi': '13x19 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Out of Stock', 'Penerbit': 'Aria Media Mandiri', 'Penulis': 'Nat Natasya', 'Berat': '400 gram', 'Product Tags': ' \naria media mandiri\nbuku novel\nnat natasya\nnovel\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide120-cr-500x500.jpeg,https://www.solusibuku.com/novel/i-love-my-badboy.html
3,Dreaming Alone,"Rp.52,000 ","
Buku ini adalah novel cerita remaja (Teenlit) yang bercerita tentang mimpi yang dijalani seorang diri sesuai dengan judulnya. Dreaming Alone. Novel ini direkomendasikan oleh laman cerita Wattpad dan telah mendapatkan berbagai respon baik dari pembaca Wattpad. Novel ini sangat cocok untuk para remaja yang ingin belajar dan membaca mengenai cerita remaja
","{'Kategori': 'Novel', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '262 halaman', 'Dimensi': '13x19 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Aria Media Mandiri', 'Penulis': 'Nadhira Ryana Alifia', 'Berat': '300 gram', 'Product Tags': ' \naria media mandiri\nbuku novel\nnadhira ryana alifia\nnovel\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide121-cr-500x500.jpeg,https://www.solusibuku.com/novel/dreaming-alone.html
4,Broken,"Rp.63,200 ","
Buku karangan Lilis Suryani ini berisim 34 Bab cerita dimana di dalamnya terdapat berbagai rangkaian cerita yang nyambung satu sama lain. Kumpulan ceita ini sebelumnya dimuat dalam jejaring sosial Wattpad. Kumpulan cerita Lilis juga termasuk dalam Recommended Wattpad sebagai tulisan yang layak untuk dibaca dan diikuti.
","{'Kategori': 'Novel', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '402 halaman', 'Dimensi': '13x19 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Out of Stock', 'Penerbit': 'Aria Media Mandiri', 'Penulis': 'Lilis Suryani', 'Berat': '500 gram', 'Product Tags': ' \naria media mandiri\nbuku novel\nlilis suryani\nnovel\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide122-cr-500x500.jpeg,https://www.solusibuku.com/novel/broken.html
5,Fearless,"Rp.70,400 ","
It's not about being unafraid, it's about being fearless."" Buku ini adalah novel fantasi dari terjemahan karya Queen Rex yang menceritakan tentang perang dunia pada abad 30-an atau tahun 3000-an. Dalam fantasi cerita itu, diceritakan tentang teknologi yang telah lenyap dan digantikan oleh penemuan seorang Profesor yang dapat membangkitakn sistem saraf manusia yang telah mati. Akibatnya, terjadi perselisihan antar kelompok yang terjadi di seluruh penjuru dunia.
","{'Kategori': 'Novel', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '468 halaman', 'Dimensi': '13x19 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Aria Media Mandiri', 'Penulis': 'Queen Rex', 'Berat': '500 gram', 'Product Tags': ' \naria media mandiri\nbuku novel\nnovel\nqueen rex\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide123-cr-500x500.jpeg,https://www.solusibuku.com/novel/fearless.html
6,Dieser Mann,"Rp.70,400 ","
Buku ini mengisahkan seorang mafia tampan yang kaya raya bernama Diftan Pablo Glambert. Pria berusia 30 tahun ini tidak mempercayai cinta. Masa lalu yang kelam menjadikannya sosok pria jahat dan dingin kepada semua orang. Hingga suatu ketika takdir mempertemukan Diftan dengan seorang Arabella, perempuan yang mengubah hidupnya.
","{'Kategori': 'Novel', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '484 halaman', 'Dimensi': '13x19 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Aria Media Mandiri', 'Penulis': 'Rincelina Tamba', 'Berat': '600 gram', 'Product Tags': ' \naria media mandiri\nbuku novel\nnovel\nrincelina tamba\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide124-cr-500x500.jpeg,https://www.solusibuku.com/novel/dieser-mann.html
7,Panilaran,"Rp.39,200 ","
          Panilaran adalah novel yang ditulis oleh penulis muda. Odilia Melisa. Buku ini bercerita tentang kisah horor yang dialami seseorang di masa mudanya. Ditulis dengan gaya bahasa yang renyah dan enak dibaca. Kisah horor di cerita ini diselingi dengan dialog cerita sehari-hari khas anak muda.        ","{'Kategori': 'Novel', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '160 halaman', 'Dimensi': '13x19 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Aria Media Mandiri', 'Penulis': 'Odilia Melisa', 'Berat': '200 gram', 'Product Tags': ' \naria media mandiri\nbuku novel\nnovel\nodilia melisa\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide126-cr-500x500.jpeg,https://www.solusibuku.com/novel/panilaran.html
8,Antologi Mimpi,"Rp.31,200 ","
          Buku ini berisi kumpulan puisi Anna yang diberi judul Antologi Mimpi.        ","{'Kategori': 'Novel', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '110 halaman', 'Dimensi': '13x19 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Aria Media Mandiri', 'Penulis': 'Anna N.A.F', 'Berat': '200 gram', 'Product Tags': ' \nanna naf\naria media mandiri\nbuku novel\nnovel\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide127-cr-500x500.jpeg,https://www.solusibuku.com/novel/antologi-mimpi.html
9,Antologi Segumpal Daging,"Rp.56,000 ","
          Buku ini berisi kumpulan cerita pendek bertema sosial.        ","{'Kategori': 'Novel', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '208 halaman', 'Dimensi': '14x20,5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Azka Perssindo', 'Penulis': 'Langit Kresna Haryadi', 'Berat': '300 gram', 'Product Tags': ' \nazka pressindo\nbuku novel\nlangit kresna haryadi\nnovel\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide138-cr-500x500.jpeg,https://www.solusibuku.com/novel/antologi-segumpal-daging.html
